Price,Close,High,Low,Open,Volume,EMA12,EMA26,MACD_Line,Signal_Line,Histogram
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Datetime,,,,,,,,,,
2024-12-30 14:30:00+00:00,419.4159851,420.7999878,418.1099854,419.2000122,2801225,419.4159851,419.4159851,0,0,0
2024-12-30 14:31:00+00:00,422.6401062,422.7898865,418.7200012,419.4299927,508430,419.9120037,419.6548089,0.257194845,0.051438969,0.205755876
2024-12-30 14:32:00+00:00,422.0346985,424.4198914,420.9624023,422.64151,484609,420.2385722,419.831097,0.40747515,0.122646205,0.284828945
2024-12-30 14:33:00+00:00,423.0050049,423.3288879,421,422,276210,420.6641772,420.0662013,0.597975897,0.217712144,0.380263754
2024-12-30 14:34:00+00:00,422.3649902,423.2279053,421.019989,423.0000916,242400,420.9258407,420.236482,0.68935878,0.312041471,0.377317309
2024-12-30 14:35:00+00:00,422.2999878,422.7853088,420.8099976,422.3388062,293392,421.137248,420.3893342,0.747913735,0.399215924,0.348697811
2024-12-30 14:36:00+00:00,424.8301086,425,421.2099915,422.1700134,407630,421.7053804,420.7182805,0.987099893,0.516792718,0.470307176
2024-12-30 14:37:00+00:00,425.3150024,425.519989,423.5599976,424.8400879,330174,422.2607069,421.0587784,1.201928441,0.653819862,0.548108579
2024-12-30 14:38:00+00:00,426.8898926,426.8898926,424.321991,425.2600098,401338,422.9728893,421.4907128,1.482176477,0.819491185,0.662685292
2024-12-30 14:39:00+00:00,426.0257874,427,425.7301025,426.8099976,279085,423.4425659,421.8266442,1.615921656,0.978777279,0.637144377
2024-12-30 14:40:00+00:00,425.1000977,426.2799072,424.3500977,426.019989,293226,423.6975708,422.0691223,1.628448511,1.108711526,0.519736985
2024-12-30 14:41:00+00:00,424.6247864,425.730011,423.8099976,425.1600037,211173,423.8402193,422.2584307,1.581788611,1.203326943,0.378461668
2024-12-30 14:42:00+00:00,423.1900024,424.4400024,422.230011,424.3500061,247359,423.740186,422.327436,1.41274993,1.24521154,0.16753839
2024-12-30 14:43:00+00:00,422.2749939,423.2099915,421.1199951,423.1000061,264353,423.5147718,422.3235514,1.191220368,1.234413306,-0.043192938
2024-12-30 14:44:00+00:00,422.2900085,422.4999084,421.2999878,422.4342041,204167,423.3263467,422.3210668,1.005279909,1.188586626,-0.183306717
2024-12-30 14:45:00+00:00,421.1068115,422.4299927,420.4501038,422.2900085,272368,422.9848797,422.2311219,0.753757795,1.10162086,-0.347863065
2024-12-30 14:46:00+00:00,421.8799133,421.8999023,419.5899963,421.1181946,341349,422.8148849,422.2051065,0.609778415,1.003252371,-0.393473956
2024-12-30 14:47:00+00:00,421.0499878,422.8999939,420.2719116,421.7380981,289363,422.5433623,422.1195421,0.42382013,0.887365923,-0.463545793
2024-12-30 14:48:00+00:00,420.4299927,421.5498962,419.7001038,420.9400024,292702,422.2182285,421.9943903,0.223838158,0.75466037,-0.530822212
2024-12-30 14:49:00+00:00,422.230011,422.5799866,420.1300049,420.3127136,208165,422.2200412,422.0118437,0.208197468,0.64536779,-0.437170321
2024-12-30 14:50:00+00:00,424.0822144,424.3699951,421.9200134,422.230011,284544,422.5065294,422.1652045,0.341324861,0.584559204,-0.243234343
2024-12-30 14:51:00+00:00,423.730011,424.3800049,423.3301086,424.0899963,178570,422.6947573,422.2811161,0.413641211,0.550375605,-0.136734394
2024-12-30 14:52:00+00:00,422.9400024,423.8800049,422.4100037,423.6405029,169410,422.7324873,422.3299225,0.402564836,0.520813451,-0.118248615
2024-12-30 14:53:00+00:00,422.1900024,423.3999939,421.9012146,422.9349976,186984,422.6490281,422.319558,0.329470071,0.482544775,-0.153074704
2024-12-30 14:54:00+00:00,420.3599854,422.394989,420.2000122,420.3599854,252627,422.2968677,422.1744045,0.122463179,0.410528456,-0.288065277
2024-12-30 14:55:00+00:00,421.2477112,421.5799866,420.1199951,420.2000122,179101,422.135459,422.1057606,0.029698436,0.334362452,-0.304664016
2024-12-30 14:56:00+00:00,420.0100098,421.4899902,419.8200989,421.3900146,236088,421.8084668,421.9505198,-0.142052954,0.239079371,-0.381132325
2024-12-30 14:57:00+00:00,418.552002,420.0950012,418.1200867,420.0499878,363101,421.3074722,421.6987777,-0.391305487,0.113002399,-0.504307886
2024-12-30 14:58:00+00:00,418.5750122,419.5,418.4100952,418.7298889,221025,420.8870938,421.4673877,-0.580293913,-0.025656863,-0.55463705
2024-12-30 14:59:00+00:00,418.1213074,418.5799866,417.260498,418.5499878,386386,420.4615882,421.2195299,-0.75794171,-0.172113832,-0.585827878
2024-12-30 15:00:00+00:00,416.9150085,418.1499939,416.8500061,416.9150085,295169,419.9159605,420.9006764,-0.984715911,-0.334634248,-0.650081663
2024-12-30 15:01:00+00:00,418.8599854,418.9899902,416.730011,417,308324,419.7535028,420.7495141,-0.996011327,-0.466909664,-0.529101663
2024-12-30 15:02:00+00:00,417.5599976,420.2200012,417.4599915,418.8900146,311493,419.4160405,420.5132536,-1.097213186,-0.592970368,-0.504242817
2024-12-30 15:03:00+00:00,417.9299927,418.6400146,417.1799927,417.506012,199276,419.1874177,420.321901,-1.134483257,-0.701272946,-0.433210311
2024-12-30 15:04:00+00:00,418.1463013,419.4400024,417.7099915,418.1733093,221863,419.027246,420.1607454,-1.133499485,-0.787718254,-0.345781231
2024-12-30 15:05:00+00:00,418.1300049,418.7799988,417.5100098,418.5899963,131418,418.8892089,420.0103202,-1.121111347,-0.854396873,-0.266714475
2024-12-30 15:06:00+00:00,418.1799927,418.3999939,417,418.1579895,180930,418.7800987,419.8747404,-1.094641713,-0.902445841,-0.192195872
2024-12-30 15:07:00+00:00,417.894989,418.3999939,416.9899902,418.1799927,173298,418.643928,419.7280921,-1.084164181,-0.938789509,-0.145374672
2024-12-30 15:08:00+00:00,416.5799866,417.9999084,416.2999878,417.9999084,225689,418.3263985,419.4948991,-1.168500621,-0.984731731,-0.18376889
2024-12-30 15:09:00+00:00,416.4899902,417.4899902,416.3240051,416.6199951,169792,418.0438742,419.2723133,-1.228439128,-1.033473211,-0.194965917
2024-12-30 15:10:00+00:00,416.7000122,417.4782104,415.75,416.4700012,340975,417.8371262,419.0817725,-1.244646301,-1.075707829,-0.168938472
2024-12-30 15:11:00+00:00,416.25,417.177887,415.7600098,416.7999878,191612,417.5929529,418.8720116,-1.279058634,-1.11637799,-0.162680645
2024-12-30 15:12:00+00:00,416.887085,417,415.7999878,416.1000061,181708,417.4843578,418.72498,-1.240622105,-1.141226813,-0.099395293
2024-12-30 15:13:00+00:00,416.8782959,417,416.3200073,416.8999939,138321,417.3911175,418.5881885,-1.197070994,-1.152395649,-0.044675345
2024-12-30 15:14:00+00:00,417.8500061,418,416.7099915,416.8099976,271534,417.4617158,418.5335084,-1.071792574,-1.136275034,0.06448246
2024-12-30 15:15:00+00:00,417.9100037,418.3499146,417.2000122,417.8500061,198013,417.5306832,418.4873228,-0.956639675,-1.100347962,0.143708287
2024-12-30 15:16:00+00:00,416.6300049,418.1299133,416.2600098,417.8399963,197734,417.3921173,418.3497437,-0.957626456,-1.071803661,0.114177205
2024-12-30 15:17:00+00:00,416.6940002,417.1900024,416.2601929,416.4559937,133452,417.2847146,418.2270961,-0.94238141,-1.045919211,0.103537801
2024-12-30 15:18:00+00:00,418.4450073,419.4231873,416.7099915,416.7099915,281543,417.4632212,418.2432376,-0.780016419,-0.992738652,0.212722233
2024-12-30 15:19:00+00:00,418.9244995,419.7900085,418.3399963,418.3414001,202648,417.6880333,418.2937015,-0.605668216,-0.915324565,0.309656349
2024-12-30 15:20:00+00:00,419.3200073,420,418.9100037,418.9100037,169903,417.9391062,418.3697241,-0.430617938,-0.81838324,0.387765301
2024-12-30 15:21:00+00:00,419.9233093,420.0299988,418.5,419.1000061,212099,418.2443682,418.4848045,-0.240436303,-0.702793852,0.46235755
2024-12-30 15:22:00+00:00,419.615509,420.3699951,419.2999878,419.9500122,171474,418.455313,418.5685604,-0.113247451,-0.584884572,0.471637121
2024-12-30 15:23:00+00:00,418.7999878,419.7049866,418.7999878,419.7049866,102738,418.5083399,418.5857032,-0.077363322,-0.483380322,0.406017
2024-12-30 15:24:00+00:00,418.4100037,419.1000061,417.7200012,418.8900146,180661,418.4932112,418.5726884,-0.079477188,-0.402599695,0.323122507
2024-12-30 15:25:00+00:00,419.2399902,419.7827148,418.269989,418.4219971,136631,418.6081003,418.6221182,-0.014017873,-0.324883331,0.310865458
2024-12-30 15:26:00+00:00,418.9060059,419.4992981,418.7604065,419.4399109,88858,418.6539319,418.6431469,0.010785035,-0.257749658,0.268534693
2024-12-30 15:27:00+00:00,419.4934998,420.1000061,418.7149963,419.059906,145784,418.7830962,418.706136,0.076960216,-0.190807683,0.267767899
2024-12-30 15:28:00+00:00,418.5400085,419.8099976,418.3500977,419.3500061,108189,418.7456981,418.6938302,0.051867852,-0.142272576,0.194140428
2024-12-30 15:29:00+00:00,418.5499878,419.2398987,418.5499878,418.5939941,66502,418.7155888,418.6831752,0.032413571,-0.107335347,0.139748917
2024-12-30 15:30:00+00:00,419.375,419.6900024,418.6600037,418.6600037,85400,418.8170367,418.7344215,0.082615167,-0.069345244,0.151960411
2024-12-30 15:31:00+00:00,419.3399963,419.4999084,418.7518005,419.2999878,74776,418.897492,418.7792789,0.118213103,-0.031833575,0.150046678
2024-12-30 15:32:00+00:00,419.155304,419.5198975,418.6400146,419.3192139,76462,418.9371554,418.8071326,0.130022771,0.000537694,0.129485076
2024-12-30 15:33:00+00:00,419.8699951,420.2799072,419.0299988,419.1300049,137792,419.0806692,418.8858632,0.194806019,0.039391359,0.15541466
